index,sentence
ad hominem,You oppose a senator's proposal to extend government-funded health care to poor minority children because that senator is a liberal Democrat.
ad hominem,"""In his class president election video, he called his student opponent 'a brown-nosing, suck up who only wanted to get on the teacher's good side,' which got him disqualified"" IS an example of THIS fallacy."
ad hominem,Dismissing someone's viewpoint on an issue because he himself is inconsistent in that very thing.
ad hominem,"You're a vegetarian? You do realize that Hitler was a vegetarian, too?"
ad hominem,"""I used to have that haircut. Then my mom got a job."""
ad populum,"Since many people believe this, then it must be true"
ad populum,"Makes people feel as though everyone is doing it, so they should too."
ad populum,"taps into people's desire to belong to a group. ""Everyone else is doing it!"""
ad populum,"I know the Professor said that the Bridges of Madison County was smarmy trash and lacked any artistic worth. But I still think he's wrong. After all, it was on the best-seller list for over 100 weeks.

Identify the logical fallacy commited in this argument."
ad populum,An opinion article in a campus newspaper states that in an all-campus survey 95% of students think that tuition should be lowered and therefore tuition should be lowered immediately.
appeal to emotion,"company's slogan ""Expect More. Pay Less."""
appeal to emotion,A mother tells her children not to leave the yard because there might be wild animals in the woods.
appeal to emotion,"""Beware of appeals made only to your feelings and not to your logic."""
appeal to emotion,"If there is no freewill, then we are not ultimately in control of our actions. If this is true, our entire system of justice would be seriously flawed. This would be very bad; therefore, freewill must exist."
appeal to emotion,You should give me a promotion. I have a lot of debt and am behind on my rent.
circular reasoning,Senator Randall isn't lying when she says she cares about her constituents—she wouldn't lie to people she cares about.
circular reasoning,"""I am a great leader because I make great leadership decisions. The proof that I make great leadership decisions is that I am a great leader, and that's what leaders do."" What is this?"
circular reasoning,Students should not be allowed to park in lots now reserved for faculty because those lots should be for faculty only.
circular reasoning,Circular reasoning occurs when someone makes an argument in which both the premises and the conclusion have to rely on the truthfulness of the other.
circular reasoning,"All useless laws, such as Reform Bill 13, should be repealed."
equivocation,Science shows us that improved quality of life comes through research and invention.
equivocation,The writer or speaker intentionally misleads the audience by using a word with a double or ambiguous meaning.
equivocation,"""I see nobody on the road,"" said Alice.
""I only wish I had such eyes,"" the king remarked...""To be able to see Nobody! And at that distance, too! Why it's as much as I can do to see real people, by this light."""
equivocation,"According to the Supreme Court, we have a right to abortion. Therefore, it is right to have an abortion."
equivocation,He said a lovely lady like me doesn't have to worry about his bear because this is a man-eating bear.
fallacy of credibility,"This herbal supplement is made from a plant that grows in Zambia. It must be healthier than taking that medication, which is full of chemicals I can't pronounce."
fallacy of credibility,Students never used to have cell phones so they don't need them now.
fallacy of credibility,"I am committed to preserving traditional marriage, the union of one man and one woman."
fallacy of credibility,"Nature gives people diseases and sickness; therefore, it is morally wrong to interfere with nature and treat sick people with medicine."
fallacy of credibility,"""Stephen Hawking in the smartest scientist on the planet, so if he says global warming is real, it must be true!"""
fallacy of extension,"John: I think we should hire someone to redesign our website.
Lola: You're saying we should throw our money away on external resources instead of building up our in-house design team? That's going to hurt our company in the long run."
fallacy of extension,"Prof. Jones: ""The university just cut our yearly budget by $10,000."" Prof. Smith: ""What are we going to do?"" Prof. Brown: ""I think we should eliminate one of the teaching assistant positions. That would take care of it."" Prof. Jones: ""We could reduce our scheduled raises instead."" Prof. Brown: "" I can't understand why you want to bleed us dry like that, Jones."""
fallacy of extension,"The student didn't want to participate in the beach cleanup. Later, the student's advisor says ""I can't believe she doesn't believe in climate change""."
fallacy of extension,Those who believe in behavior modification obviously want to try to control everyone by subjecting them to rewards and punishments.
fallacy of extension,Mayor Blake wants to create more bicycle lanes in Lowell. Why is he forcing us to give up our cars and bike everywhere?
fallacy of logic,"If Joe eats greasy food, he will feel sick.
Joe feels sick.
Therefore, Joe ate greasy food."
fallacy of logic,"If taxes are lowered, I will have more money to spend.
I have more money to spend.
Therefore, taxes must have been lowered."
fallacy of logic,Not tipping your waiter is like stealing money right out of someone's wallet.
fallacy of logic,"I hear the rain falling outside my window; therefore, the sun is not shining."
fallacy of logic,"Mayor: During my previous term as mayor my staff and I spent a great deal of time focusing on our city's economy, and unemployment reached an all-time high as a result. So clearly you should support my re-election campaign if you are among those still looking for a job."
fallacy of relevance,"A mother is telling her daughter that she went over her data for the month, and the daughter begins telling her mother about getting an A on a math test."
fallacy of relevance,"Child: This fish tastes funny. I don't want to eat this.
Parent: There are children starving in Africa. Eat your dinner."
fallacy of relevance,uses irrelevant information or other techniques to distract from the argument at hand
fallacy of relevance,"Debate moderator: ""What will you do to fix the economic crisis?"" Candidate: ""It's important to focus on what started this crisis to begin with. My opponent..."""
fallacy of relevance,"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that?
Ken: But what is morality exactly?
Mike: It's a code of conduct shared by cultures.
Ken: But who creates this code?..."
false causality,"The bigger a child's shoe size, the better the child's handwriting"
false causality,very time Joe goes swimming he is wearing his Speedos. Something about wearing that Speedo must make him want to go swimming.
false causality,"Every time I go to sleep, the sun goes down. Therefore, my sleeping causes the sun to set."
false causality,"The flu vaccine comes out every year just before the holidays, then people go and spend a lot of money. Therefore, businesses are secretly using the flu vaccine as a mind control device to increase holiday spending."
false causality,Billy murdered all those people because I spanked him when he was a child.
false dilemma,"Either support gun confiscation or have the government provide everyone with his own private nuclear warhead, you decide which one."
false dilemma,"Either we go to war, or we appear weak"
false dilemma,"If Mom didn't turn off the air conditioner, then clearly she must be too hot."
false dilemma,You can either support our police or Black Lives Matter.
false dilemma,Force people to choose between two extreme choices intentionally ignoring the whole spectrum of other possibilities.
faulty generalization,"If we ban Hummers because they are bad for the environment, eventually the government will ban all cars, so we should not ban Hummers."
faulty generalization,"""You were late tonight. You must be cheating!"""
faulty generalization,All football players are dumb jocks.
faulty generalization,"""My cousin said her Math class was hard. The one that I'm in is hard too. All Math classes must be hard.""
This statement is an example of…"
faulty generalization,Using the second amendment as justification to allow civilians to own nuclear submarines.
intentional,"Jack: I have tiny, invisible unicorns living in my anus.
Nick: How do you figure?
Jack: Can you prove that I don't?
Nick: No.
Jack: Then I do.
"
intentional,"The “prophet” Nostradamus wrote about 500 years ago:

Beasts wild with hunger will cross the rivers,
The greater part of the battle will be against Hister.
He will cause great men to be dragged in a cage of iron,
When the son of Germany obeys no law.

Surely he must have had some vision of Hitler!"
intentional,"FlatSam: Common sense tells us that if the earth were a sphere, people on the bottom would fall off.
ReasonEric: I don't think you get to reference something you clearly don't have.
"
intentional,"Bertrand declares that a teapot is, at this very moment, in orbit around the Sun between the Earth and Mars, and that because no one can prove him wrong, his claim is therefore a valid one."
intentional,Did your misleading claims result in you getting promoted?
