predictions,true_labels,amr_str
ad populum,appeal to emotion,"# ::snt company 's slogan "" Expect More . Pay Less . "" 
(s / slogan
      :poss (c / company)
      :domain (a / and
            :op1 (e / expect-01
                  :ARG1 (m / more))
            :op2 (p / pay-01
                  :ARG1 (l / less))))"
faulty generalization,false causality,"# ::snt The bigger MSK0 shoe size , the better MSK0 handwriting 
(c / correlate-91
      :ARG1 (m / more
            :ARG3-of (h / have-degree-91
                  :ARG1 (s / size
                        :mod (s2 / shoe
                              :name (n / name
                                    :op1 ""MSK0"")))
                  :ARG2 (b / big)))
      :ARG2 (m2 / more
            :ARG3-of (h2 / have-degree-91
                  :ARG1 (w / write-01
                        :ARG0 (p / person)
                        :ARG3 s2)
                  :ARG2 (g / good-02
                        :ARG1 w))))"
ad populum,ad populum,"# ::snt Since many people believe this , then it must be true 
(ii / infer-01
      :ARG1 (t / true-01
            :ARG1 (ii2 / it))
      :ARG1-of (c / cause-01
            :ARG0 (b / believe-01
                  :ARG0 (p / person
                        :quant (m / many))
                  :ARG1 ii2)))"
ad hominem,circular reasoning,"# ::snt MSK0 is n't MSK1 when MSK0 says MSK0 MSK2 about MSK0 constituents — MSK0 would n't MSK1 to people MSK0 MSK2 about . 
(c / contrast-01
      :ARG1 (h / have-mod-91
            :polarity -
            :ARG1 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG2 (p2 / person
                  :name (n2 / name
                        :op1 ""MSK1""))
            :time (s / say-01
                  :ARG0 p
                  :ARG1 (h2 / have-mod-91
                        :ARG1 p
                        :ARG2 (p3 / person
                              :name (n3 / name
                                    :op1 ""MSK2""))
                        :topic (c2 / constituent
                              :mod p))))
      :ARG2 (h3 / have-mod-91
            :polarity -
            :ARG1 p
            :ARG2 p3
            :topic c2
            :polarity (a / amr-unknown)))"
false causality,fallacy of relevance,"# ::snt MSK0 is MSK1 MSK2 that MSK0 went over MSK0 data for the month , and MSK2 begins MSK1 MSK0 about getting an A on a math test . 
(a / and
      :op1 (t / thing
            :name (n / name
                  :op1 ""MSK1"")
            :domain (t2 / thing
                  :name (n2 / name
                        :op1 ""MSK2"")))
      :op2 (g / go-over-26
            :ARG0 t2
            :ARG1 (d / data
                  :mod t)
            :duration (m / month))
      :op3 (b / begin-01
            :ARG0 t2
            :ARG1 (t3 / thing
                  :name (n3 / name
                        :op1 ""MSK1"")
                  :domain t)
            :topic (g2 / get-01
                  :ARG1 (s / score-on-scale-91
                        :ARG1 ""A"")
                  :ARG3 (t4 / test-01
                        :ARG2 (m2 / mathematics)))))"
appeal to emotion,appeal to emotion,"# ::snt MSK0 tells MSK0 children not to leave the yard because there might be wild animals in the woods . 
(t / tell-01
      :ARG0 (p / person
            :name (n / name
                  :op1 ""MSK0""))
      :ARG1 (l / leave-11
            :polarity -
            :ARG0 (c / child
                  :mod p)
            :ARG1 (y / yard)
            :ARG1-of (c2 / cause-01
                  :ARG0 (p2 / possible-01
                        :ARG1 (a / animal
                              :mod (w / wild)
                              :location (w2 / woods)))))
      :ARG2 c)"
faulty generalization,faulty generalization,"# ::snt If MSK0 MSK1 MSK2 because MSK2 are bad for the environment , eventually the government will MSK1 all cars , so MSK0 should not MSK1 MSK2 . 
(c / cause-01
      :ARG0 (c2 / cause-01
            :ARG0 (b / bad-04
                  :ARG1 (p / product
                        :name (n / name
                              :op1 ""MSK2""))
                  :ARG2 (e / environment))
            :ARG1 (p2 / product
                  :name (n2 / name
                        :op1 ""MSK1"")
                  :mod (v / value-interval
                        :op1 1
                        :op2 2)))
      :ARG1 (p3 / product
            :name (n3 / name
                  :op1 ""MSK1"")
            :mod (v2 / value-interval
                  :op1 1
                  :op2 2)
            :domain (c3 / car
                  :mod (a / all))
            :ARG0-of (c4 / cause-01
                  :ARG1 (r / recommend-01
                        :polarity -
                        :ARG1 (p4 / product
                              :name (n4 / name
                                    :op1 ""MSK1"")
                              :mod v2))))
      :time (e2 / eventual))"
false causality,false causality,"# ::snt very time MSK0 goes MSK1 MSK0 is MSK2 MSK0 MSK3 . Something about MSK2 that MSK3 must make MSK0 want to go MSK1 . 
(m / multi-sentence
      :snt1 (s / string-entity
            :value ""MSK2""
            :domain (s2 / string-entity
                  :value ""MSK0"")
            :frequency (v / very)
            :time-of (g / go-08
                  :ARG1 s2
                  :ARG2 (s3 / string-entity
                        :value ""MSK1"")))
      :snt2 (o / obligate-01
            :ARG0 (s4 / something
                  :topic (s5 / string-entity
                        :value ""MSK3""))
            :ARG1 (w / want-01
                  :ARG0 (s6 / string-entity
                        :value ""MSK0"")
                  :ARG1 (g2 / go-08
                        :ARG1 s6
                        :ARG2 (s7 / string-entity
                              :value ""MSK1"")))))"
faulty generalization,faulty generalization,"# ::snt "" MSK0 were late tonight . MSK0 must be cheating ! "" 
(m / multi-sentence
      :snt1 (l / late
            :domain (p / product
                  :name (n / name
                        :op1 ""MSNK0""))
            :time (d / date-entity
                  :dayperiod (n2 / night)
                  :mod (t / today)))
      :snt2 (o / obligate-01
            :mode expressive
            :ARG1 (c / cheat-03
                  :ARG0 p)))"
false causality,false causality,"# ::snt Every time MSK0 go to MSK1 , MSK2 goes down . Therefore , MSK0 MSK1 causes MSK2 to set . 
(m / multi-sentence
      :snt1 (g / go-01
            :ARG1 (t / thing
                  :name (n / name
                        :op1 ""MSK2""))
            :direction (d / down-03
                  :ARG1 t)
            :frequency (r / rate-entity-91
                  :ARG4 (g2 / go-01
                        :ARG1 t
                        :ARG4 (t2 / thing
                              :name (n2 / name
                                    :op1 ""MSK1"")))))
      :snt2 (c / cause-01
            :ARG0 (t3 / thing
                  :name (n3 / name
                        :op1 ""MSK0""))
            :ARG1 (s / set-02
                  :ARG1 (t4 / thing
                        :name (n4 / name
                              :op1 ""MSK2"")))))"
ad populum,ad populum,"# ::snt Makes MSK0 feel as though everyone is doing it , so MSK0 should too . 
(c / cause-01
      :ARG0 (m / make-02
            :ARG1 (f / feel-01
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""MSK0""))
                  :ARG1 (d / do-02
                        :ARG0 (e / everyone)
                        :ARG1 (ii / it))))
      :ARG1 (r / recommend-01
            :ARG1 (d2 / do-02
                  :ARG0 p
                  :ARG1 ii
                  :mod (t / too))))"
ad hominem,ad hominem,"# ::snt You oppose MSK0 proposal to extend government - funded health care to poor minority children because MSK0 is a liberal Democrat . 
(o / oppose-01
      :ARG0 (y / you)
      :ARG1 (p / propose-01
            :ARG0 (p2 / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (e / extend-02
                  :ARG0 p2
                  :ARG1 (c / care-03
                        :ARG1 (h / health)
                        :ARG1-of (f / fund-01
                              :ARG0 (g / government-organization
                                    :ARG0-of (g2 / govern-01))))
                  :ARG2 (c2 / child
                        :mod (m / minority)
                        :mod (p3 / poor))))
      :ARG1-of (c3 / cause-01
            :ARG0 (l / liberal-02
                  :ARG1 p2
                  :ARG2 (p4 / political-party
                        :name (n2 / name
                              :op1 ""Democrat"")))))"
fallacy of extension,fallacy of relevance,"# ::snt MSK0 : This fish tastes funny . I do n’t want to MSK1 this . Parent : There are MSK0 starving in Africa . MSK1 your dinner . 
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (t / taste-02
                  :ARG1 (f / fish
                        :mod (t2 / this))
                  :ARG2 (f2 / funny)))
      :snt2 (s2 / say-01
            :ARG0 (p2 / person
                  :ARG0-of (h / have-rel-role-91
                        :ARG1 p
                        :ARG2 (p3 / parent)))
            :ARG1 (w / want-01
                  :polarity -
                  :ARG0 p
                  :ARG1 (m2 / miss-02
                        :ARG0 p
                        :ARG1 (t3 / this))))
      :snt3 (s3 / starve-01
            :ARG1 (p4 / person
                  :name (n2 / name
                        :op1 ""MSK0""))
            :location (c / continent
                  :name (n3 / name
                        :op1 ""Africa"")))
      :snt4 (m3 / miss-02
            :ARG0 (y / you)
            :ARG1 (d / dinner
                  :poss y)
            :mod (t4 / this)))"
fallacy of extension,fallacy of extension,"# ::snt MSK0 : MSK0 think MSK1 should hire someone to redesign MSK1 website . MSK2 : MSK2 're saying MSK1 should throw MSK1 money away on external resources instead of building up MSK1 in - house design team ? That 's going to hurt MSK1 company in the long run . 
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (t / think-01
                  :ARG0 p
                  :ARG1 (r / recommend-01
                        :ARG1 (h / hire-01
                              :ARG0 (c / company
                                    :name (n2 / name
                                          :op1 ""MSK1""))
                              :ARG1 (s2 / someone)
                              :ARG2 (r2 / redesign-01
                                    :ARG0 s2
                                    :ARG1 (w / website
                                          :poss c))))))
      :snt2 (s3 / say-01
            :ARG0 (p2 / person
                  :name (n3 / name
                        :op1 ""MSK2""))
            :ARG1 (r3 / recommend-01
                  :ARG1 (t2 / throw-away-07
                        :ARG0 (c2 / company
                              :name (n4 / name
                                    :op1 ""MSK1""))
                        :ARG1 (m2 / money
                              :poss c2)
                        :ARG2 (r4 / resource
                              :mod (e / external))
                        :ARG1-of (ii / instead-of-91
                              :ARG2 (b / build-up-05
                                    :ARG0 c2
                                    :ARG1 (t3 / team
                                          :ARG0-of (d / design-01)
                                          :poss c2
                                          :mod (ii2 / in-house))))))
            :polarity (a / amr-unknown))
      :snt3 (h2 / hurt-01
            :ARG0 (t4 / that)
            :ARG1 (c3 / company
                  :poss c)
            :time (r5 / run-13
                  :ARG1-of (l / long-03))))"
appeal to emotion,appeal to emotion,"# ::snt "" Beware of appeals made only to MSK0 feelings and not to MSK0 logic . "" 
(b / beware-01
      :mode imperative
      :ARG0 (y / you)
      :ARG1 (a / appeal-02
            :ARG1-of (m / make-02
                  :ARG2 (f / feel-01
                        :ARG1 (s / string-entity
                              :value ""MSNK0""))
                  :mod (o / only))
            :ARG1-of (m2 / make-02
                  :polarity -
                  :ARG2 (l / logic
                        :poss s))))"
ad populum,ad populum,"# ::snt taps into people 's desire to belong to MSK0 . "" Everyone else is doing MSK0 ! "" 
(t / tap-02
      :ARG1 (d / desire-01
            :ARG0 (p / person)
            :ARG1 (b / belong-01
                  :ARG0 p
                  :ARG1 (p2 / product
                        :name (n / name
                              :op1 ""MSK0""))))
      :ARG1-of (m / mean-01
            :ARG2 (d2 / do-02
                  :mode expressive
                  :ARG0 (e / everyone
                        :mod (e2 / else))
                  :ARG1 p2)))"
