text,label
"""Politicians and diapers must be changed often, and for the same reason.""",fallacy of logic
Mr. Casal was very tired because he had no energy.,circular reasoning
"“All those opposed to my arguments for the opening of a new department, signify by saying, ‘I quit.’""",appeal to emotion
Did the pollution you caused increase or decrease your profits?,intentional
10 of the last 14 National Spelling Bee Champions have been Indian American. Indian Americans must all be great spellers!,faulty generalization
"If you don't drive a car, you hate the Earth.",fallacy of extension
People either like coffee or hate it.,false dilemma
"Justin Beiber wears Ray Bans, so you should buy a pair to wear in the sun.",ad populum
"He was born to Catholic parents and raised as a Catholic until his confirmation in 8th grade.  Therefore, he is bound to want to defend some Catholic traditions and, therefore, cannot be taken seriously.",ad hominem
The newest brand jeans that everyone is wearing are called Blue Dogs. Blue Dogs are being worn by all young teens. Be sure to go out and buy your new jeans at your local mall.,ad populum
The accident was caused by the taxi parking in the street,false causality
"When a statement falsely claims or assumes an ""either / or"" situation, when in fact there is at least one additional logically valid option, it is called...",false dilemma
"Even without watching the movie, I just know that it would not be as good as the book.",faulty generalization
"All living beings come from other living beings.  Therefore, the first forms of life must have come from a living being.  That living being is God.",equivocation
"Service Tech: Your car could use some new tires. Bart: You have a financial interest in selling me tires, why should I trust you? Service Tech: You brought your car to me to have it checked, sir. Bart: I brought my car to the shop where you work. Service Tech: So should we forget about the new tires for now? Bart: I never suggested that.  Are you trying to use reverse psychology on me, so I will buy the tires?",fallacy of relevance
"""Chick-Fil-A is the greatest food chain in existence. Look at the crowds!""",ad populum
Fortnite is the best game ever. Everyone is playing it!,ad populum
"Everyone I know is making fruit smoothies for quick, portable meals, so smoothies must be really good for you.",ad populum
ALL teenagers are irresponsible,faulty generalization
My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren’t the cause of obesity.,faulty generalization
"Girl:"" I'm worried that my friend is mad at me."" Friend: ""I wonder what you call a male lady bug?""",fallacy of logic
The news is fake because so much of the news is fake.,circular reasoning
You should certainly be the one who washes the dishes -- you are just so good at it!,appeal to emotion
There's no point listening to you. Everybody knows you're just a little do-gooder.,ad hominem
"If you don't buy the warranty for your chromebook, you could find yourself without one for the rest of the schoolyear and having to pay thousands of dollars in expensive repairs",appeal to emotion
"Argues that because something is popular, it must be right.",ad populum
I can’t take home a B in this course. My parents will be angry with me.,appeal to emotion
"Laura is the class president. She believes that the class should sponsor a dance as a fundraiser. Then she learns that a group of girls that she doesn't like also support the idea of a dance as a fundraiser. So, Laura changes her mind and decides that the class should plan a race instead.",faulty generalization
blame opponent's policy for the country's problems,false causality
"If the state can require car seats for small children and infants, they can just as easily require mothers to breast-feed instead of using formula.",fallacy of logic
"These test results are clearly wrong, and it must be either because the client was malingering or because I bungled the test administration. Taking another look at the test manual, I see now that I bungled the test administration. Therefore the client was not malingering.",false dilemma
“four out of five dentists agree that brushing your teeth makes your life meaningful”,fallacy of credibility
"According to the Supreme Court, we have a right to abortion. Therefore, it is right to have an abortion.",equivocation
"If you are not with us, you are against us.",false dilemma
"Fred, the German, stole my wallet. Therefore, all Germans are thieves.",faulty generalization
My opponent argues that we should abolish the soda tax. It's a shame that he wants to encourage people to eat and drink unhealthily. I say we keep it.,fallacy of extension
"My first time meeting Mr. Casal went poorly, so his class will not be a good one this year.",faulty generalization
I called my friend and he didn't answer. He wasn't home or he was dead.,false dilemma
"Don't try to tell me that you only watch educational programming, Emmy! I know for a fact that your sister only watches reality television.",faulty generalization
Have you stopped cheating on exams?,intentional
"Dr. Fauci says we need to wear masks, but Dr. Fauci is the oldest, meanest doctor around. I’m sure what he says isn’t true at all.",ad hominem
This persuasive technique is used to make you feel left out if you don't join the group.,ad populum
"Matthieu was the only player on the team who didn't grow a playoff beard, and thus he ended up getting injured.",false causality
"""The two courses I took at UWI were not very interesting. I don't think its a good university.""",faulty generalization
You didn't remember to take out the trash this morning. It will pile up and the neighbors will complain and the health inspectors will come and take away the kids.,faulty generalization
To justify support for a position by citing an esteemed or well-known figure who supports it.,fallacy of credibility
"Everyone uses Social Media to fundraise, therefore there's no problem with asking for money on social media sites as long as it's going to charity",ad populum
George Bush is a good communicator because he speaks effectively.,circular reasoning
Speaker 1: I’m against the war. Speaker 2: You must hate our troops.,false dilemma
"Not only is paying a higher income tax a patriotic duty, it is also a sacred obligation.",ad populum
"Some students who attend tutoring over the summer are not very intelligent. Since Beth attended summer tutoring, she is not a very good student.",faulty generalization
"While debating with a friend on which movie would be better to see, you use the argument that your opinion on movies is better because your friend picks their nose, so we shouldn’t trust them because that’s gross",ad hominem
"""I see nobody on the road,"" said Alice. ""I only wish I had such eyes,"" the king remarked...""To be able to see Nobody! And at that distance, too! Why it's as much as I can do to see real people, by this light.""",equivocation
What is The Texas Sharpshooter?,intentional
"Scientist: Evolution explains how animals developed, adapted and diversified over millions of years. Opponent: If we evolved from monkeys, why are there still monkeys? And why don't we have three arms? Wouldn't that give me a competitive advantage?",fallacy of extension
"""Everyone is wearing the new skinny jeans from American Eagle. Are you?""",ad populum
"A local politician plans to expand the municipality's cycle network and to add several new speed cameras in densely populated areas. Their opponent says, ""They want us all to give up driving forever. They're punishing the honest car owners and commuters that help pay these politicians' salaries.""",fallacy of extension
You don’t have to do this. My grandmother is in the hospital. I need my salary to support her medication. She’s dying.,appeal to emotion
But this here research must go on. This space effort must go on,circular reasoning
"Nuclear disarmament is a risk, but everything in life involves a risk. Every time you drive in a car you are taking a risk. If you're willing to drive in a car, you should be willing to have disarmament.",fallacy of logic
Speaker 1: Dr. Singh says meat eating is bad for the environment. Speaker 2: He’s a Sikh. They don’t eat meat. Of course he would say that. He can’t be telling the truth.,ad hominem
This is why a woman shouldn’t do a man's job,ad hominem
"His house is about half the size of most houses in the neighborhood. Therefore, his doors must all be about 3 1/2 feet high.",faulty generalization
I’ve never had the flu because I take my vitamins everyday.,false causality
Eating five candy bars and drinking two sodas before a test helps me get better grades. I did that and got an A on my last test in history.,false causality
"An increasing number of people are keeping ferrets as pets, so they must make wonderful companion animals.",ad populum
Flight attendants are the nicest people. I should know—I’ve taken two flights.,faulty generalization
Trans fats are as bad as biological weapons.,fallacy of relevance
"The ideas from that member of the club are wrong, but he isn’t actually a true member of the club so his ideas do not matter.",intentional
"My parents are democrats, and they are good people. Therefore, all democrats must be good people.",faulty generalization
My opponent in the election keeps claiming that he wants to give tax credits to poor people. That means that he wants to raise taxes for the middle class.,fallacy of extension
Let’s go buy the iPhone X in spite of the $999 price tag--all of our friends have one already!,ad populum
"All stars are exploding balls of gas. Miley Cyrus is a star. Therefore, Miley Cyrus is an exploding ball of gas",equivocation
"“Andrea Dworkin has written several books arguing that pornography harms women. But Dworkin is just ugly and bitter, so why should we listen to her?”",ad hominem
"Well, every one else jumped off the roof, why can't I?",ad populum
"My first day of basketball practice was easy, so it will always be easy.",faulty generalization
"Why should you feel guilty for seeking your own happiness when that's what everyone else is doing, too?",ad populum
You have to give me a passing grade. I spent 150 hours on that project and missed every party this quarter.,appeal to emotion
"MARVIN STONE: You suggest that we scrap the SALT II treaty already negotiated, and intensify the build-up of American power to induce the Soviets to sign a new treaty - one more favorable to us. President Carter, on the other hand, says he will again try to convince a reluctant Congress to ratify the present treaty on the grounds it's the best we can hope to get. Now, both of you cannot be right. Will you tell us why you think you are? RONALD REAGAN: Yes. I think I'm right because I believe that we must have a consistent foreign policy, a strong America, and a strong economy. And then, as we build up our national security, to restore our margin of safety, we at the same time try to restrain the Soviet build-up, which has been going forward at a rapid pace, and for quite some time. October 28, 1980 Cleveland, Ohio What logical fallacy did Reagan’s response illustrate the use of?",appeal to emotion
"She is a teacher in a public school, so any claims that she makes about the public school system are biased and untrue.",ad hominem
"Pol Pot, the Cambodian Maoist revolutionary, was against religion, and he was a very bad man.  Frankie is against religion; therefore, Frankie also must be a very bad man.",faulty generalization
Which of the following is true?,fallacy of relevance
Vote for me because the other candidate is a cheat and a liar!,ad hominem
I. Many seats in the private medical colleges in the state have remained vacant this year. II. The government medical colleges in the state could accommodate all the students who sought admission this year.,false causality
We should stop using hairspray because it is snowing in New York.,fallacy of logic
"""It's important for you to take this psychology course. Sign up today. Don't wait.""",fallacy of relevance
Salesguy: You should definitely buy this car.  You look so good in it -- you look at least ten years younger behind that wheel.Tamera: I’ll take it!,appeal to emotion
Becky: I think capital punishment is a necessary component of our justice system and should remain legal. Alex: So you are saying that murder should be legal and it is okay for us to go around killing people just because we think they deserve it? That isn't right.,fallacy of extension
aliens must have visited Earth,fallacy of logic
"""The mind is like a knife, cutting through difficult problems. But just as too much cutting dulls a knife, so too much education dulls the mind.""",fallacy of logic
"“He’s not a great athlete; he’s a fraud, a cheat and a liar. That’s why not everybody is ‘happy for Lance.'”",ad hominem
Son: I am so excited!  I got an “A” on my physics exam! Dad:  Why not an “A+”?  This means that you answered something incorrectly.  That is not acceptable!,fallacy of relevance
"""I don't know how Professor Resnick can be such a hard grader.  He's always late for class. """,ad hominem
"Lucas: I remember when I was about three years old my mother saved me from almost being eaten by a shark. Katie: I doubt that. What you are experiencing is what cognitive psychologists refer to as a ""false memory.""",ad hominem
"The shopping is a red herring, since the original issue was video games.",fallacy of relevance
"A year is 365 days long, so I celebrate my birthday every 365 days.",faulty generalization
Either go to the party or spend the night in your room crying.,false dilemma
"There must be objective rights and wrongs in the universe.  If not, how can you possibly say that torturing babies for fun could ever be right?",appeal to emotion
"""Even though it's only the first day, I can tell this is going to be a boring course.""",faulty generalization
Appealing to popularity or the fact that many people do something as an attempted form of validation,ad populum
"Sure, we haven't given raises in over five years to our employees, but we work really hard to make a good product. We try to ensure the best customer service, too.",fallacy of relevance
"Fred, the Australian, stole my wallet. Thus, all Australians are thieves.",faulty generalization
"Dean, the company you work for just filed for bankruptcy! How can I trust you with our money?",faulty generalization
"My new way of obtaining informed consent helps prevent dropouts. I chose the three therapists in our clinic who had the highest dropout rates and taught them my new informed consent procedure. The first month that they started using it, all three had significantly lower dropout rates.",false causality
Death penalty will not scare criminals because they don’t expect to be caught,fallacy of extension
"Barbara believes the marketing agency's office is haunted. The cleaning crew once said they heard a other-worldly noise late at night. Since no one could prove that it wasn't a ghost, the office must be haunted.",intentional
"How can you possibly believe in evolution? That would mean that you believe that an elephant evolved from a mouse, and that’s just ridiculous",fallacy of extension
All my friends are doing a low carb diet. That must be the only way to lose weight so I will do it too.,ad populum
"Vietnam War—America, love it or leave it",ad populum
"I know you want to imprison me for having murdered my parents, but judge, have mercy on me, I’m an orphan!",fallacy of relevance
What did you use to wipe your fingerprints from the gun?,intentional
"""Freedom of choice is an important freedom. Students should have the freedom to choose between different types of soft drinks.""",faulty generalization
He said a lovely lady like me doesn't have to worry about his bear because this is a man-eating bear.,equivocation
"""1 is a number and 2 is a number so 1 = 2""",fallacy of logic
"If we don’t teach teens to work harder, the human race is doomed.",appeal to emotion
Explaining that the U.S. Civil War was fought only because of the institution of slavery,false causality
"We can’t legalize marijuana; if we do, then the next thing you know people will be strung out on heroin.",faulty generalization
"assumes that if many people act or believe a certain way, it must be the right way",ad populum
Of course we should buy an Apple computer whenever we need a new computer. We have been buying Apple as far back as anyone can remember!,fallacy of credibility
"Every time that rooster crows, the sun comes up. That rooster must be very powerful and important!",false causality
"The bigger a child's shoe size, the better the child's handwriting",false causality
We now produce the best program in existence; four thousand businesses subscribe to our program.,ad populum
“You could either pursue your dream job or stay where you are and be miserable for the rest of your life.”,false dilemma
Everyone who likes pizza likes pepperoni,faulty generalization
