,ad hominem,ad populum,appeal to emotion,circular reasoning,fallacy of credibility,fallacy of extension,fallacy of logic,fallacy of relevance,false causality,false dilemma,faulty generalization,intentional
ad hominem,24.0,14.0,11.0,0.0,7.0,17.0,3.0,0.0,13.0,2.0,29.0,4.0
ad populum,14.0,4.0,0.0,1.0,0.0,8.0,3.0,1.0,4.0,1.0,14.0,2.0
appeal to emotion,11.0,0.0,6.0,5.0,4.0,5.0,0.0,0.0,6.0,2.0,15.0,2.0
circular reasoning,0.0,1.0,5.0,6.0,6.0,5.0,0.0,2.0,7.0,2.0,15.0,3.0
fallacy of credibility,7.0,0.0,4.0,6.0,4.0,2.0,1.0,0.0,1.0,2.0,12.0,1.0
fallacy of extension,17.0,8.0,5.0,5.0,2.0,8.0,3.0,4.0,7.0,3.0,19.0,3.0
fallacy of logic,3.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
fallacy of relevance,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,2.0,5.0,0.0
false causality,13.0,4.0,6.0,7.0,1.0,7.0,0.0,2.0,6.0,6.0,15.0,1.0
false dilemma,2.0,1.0,2.0,2.0,2.0,3.0,0.0,2.0,6.0,2.0,5.0,1.0
faulty generalization,29.0,14.0,15.0,15.0,12.0,19.0,2.0,5.0,15.0,5.0,26.0,7.0
intentional,4.0,2.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,7.0,0.0
